customer_id,AOV,purchase_frequency,CLV,segment,action_plan
CUST0028,$287,0.04,11.47,Champions,"Maintain VIP relationship, upsell"
CUST0458,$302,0.038,11.47,Champions,"Maintain VIP relationship, upsell"
CUST0344,$308,0.034,10.48,Champions,"Maintain VIP relationship, upsell"
CUST0363,$323,0.032,10.35,Champions,"Maintain VIP relationship, upsell"
CUST0361,$335,0.03,10.05,Champions,"Maintain VIP relationship, upsell"
CUST0147,$290,0.034,9.87,Champions,"Maintain VIP relationship, upsell"
CUST0075,$258,0.038,9.82,Champions,"Maintain VIP relationship, upsell"
CUST0255,$319,0.03,9.58,Champions,"Maintain VIP relationship, upsell"
CUST0368,$278,0.034,9.45,Champions,"Maintain VIP relationship, upsell"
CUST0422,$249,0.038,9.45,Champions,"Maintain VIP relationship, upsell"
CUST0123,$333,0.028,9.31,Potential,Encourage early repurchase with offers
CUST0496,$289,0.032,9.25,Champions,"Maintain VIP relationship, upsell"
CUST0087,$279,0.032,8.94,Champions,"Maintain VIP relationship, upsell"
CUST0477,$279,0.032,8.93,Champions,"Maintain VIP relationship, upsell"
CUST0412,$316,0.028,8.86,Potential,Encourage early repurchase with offers
CUST0461,$368,0.024,8.84,Potential,Encourage early repurchase with offers
CUST0072,$315,0.028,8.82,Potential,Encourage early repurchase with offers
CUST0047,$312,0.028,8.73,Potential,Encourage early repurchase with offers
CUST0049,$291,0.03,8.72,Champions,"Maintain VIP relationship, upsell"
CUST0495,$311,0.028,8.7,Potential,Encourage early repurchase with offers
CUST0135,$271,0.032,8.67,Champions,"Maintain VIP relationship, upsell"
CUST0007,$270,0.032,8.65,Champions,"Maintain VIP relationship, upsell"
CUST0401,$268,0.032,8.59,Champions,"Maintain VIP relationship, upsell"
CUST0043,$237,0.036,8.53,Champions,"Maintain VIP relationship, upsell"
CUST0462,$284,0.03,8.52,Champions,"Maintain VIP relationship, upsell"
CUST0403,$281,0.03,8.44,Champions,"Maintain VIP relationship, upsell"
CUST0378,$281,0.03,8.43,Champions,"Maintain VIP relationship, upsell"
CUST0078,$350,0.024,8.4,Potential,Encourage early repurchase with offers
CUST0407,$261,0.032,8.35,Champions,"Maintain VIP relationship, upsell"
CUST0153,$278,0.03,8.33,Champions,"Maintain VIP relationship, upsell"
CUST0051,$277,0.03,8.31,Champions,"Maintain VIP relationship, upsell"
CUST0198,$275,0.03,8.24,Champions,"Maintain VIP relationship, upsell"
CUST0281,$294,0.028,8.24,Potential,Encourage early repurchase with offers
CUST0296,$312,0.026,8.12,Potential,Encourage early repurchase with offers
CUST0091,$270,0.03,8.09,Champions,"Maintain VIP relationship, upsell"
CUST0214,$252,0.032,8.06,Champions,"Maintain VIP relationship, upsell"
CUST0386,$365,0.022,8.04,Potential,Encourage early repurchase with offers
CUST0497,$251,0.032,8.04,Champions,"Maintain VIP relationship, upsell"
CUST0015,$363,0.022,8,Potential,Encourage early repurchase with offers
CUST0360,$285,0.028,7.98,Potential,Encourage early repurchase with offers
CUST0377,$331,0.024,7.95,Potential,Encourage early repurchase with offers
CUST0381,$331,0.024,7.95,Potential,Encourage early repurchase with offers
CUST0299,$305,0.026,7.93,Potential,Encourage early repurchase with offers
CUST0273,$303,0.026,7.89,Potential,Encourage early repurchase with offers
